seed,member,kind,epochs,threads,params,minutes,core_minutes,val,test,best_ep,file
9,mlpR,mlpR,100,10,,6.0,60.0,0.04778761081344194,0.04727888828142262,99,mlpR_s9_w1024_d4.json
9,mlp,mlp,400,10,,19.2,192.0,0.04975221830206475,0.049428618181437414,49,mlp_s9_w1024_d4_n19000_mir.json
9,unet,unet,100,10,4382977,629.42,6294.2,0.04805685536297619,0.047469030864802406,99,unet_s9_w48_mir.json
91,fno,fno,2,16,6447873,12.34,197.4,0.05405693716773836,0.05370775210668994,1,fno_s91_w64_m14_L4_mir.json
91,hpix,perpixel,,,,,,,0.04848304389093857,,hpix.json
91,hpix,hybrid,,,,,,,,,hpix_corr.json
91,hpix,split_conformal,,,,,,,,,hpix_uq.json
91,hstk,hybrid,,,,,,,,,hstk.json
91,krr_full,krr,,,,5.72,,0.05238257101219212,0.05220920835264916,,krr_full_matern52_n19000.json
91,mlpMSE,mlp,2,16,,0.08,1.2,0.07202979986042315,0.07209987168224644,-1,mlpMSE_s91_w1024_d4_n19000_mir.json
91,mlpR,mlpR,2,16,,0.09,1.4,0.062303413117196754,0.0622768365275949,-1,mlpR_s91_w1024_d4.json
91,mlp,mlp,2,16,,0.08,1.2,0.06648291416960904,0.06653207685011552,-1,mlp_s91_w1024_d4_n19000_mir.json
91,unet,unet,2,16,4382977,8.49,135.9,0.113408827149435,0.1125013339448774,1,unet_s91_w48_mir.json
