PIPELINE
  corrBarSix       paper=0.918    measured=0.918    
  corrBarSixSd     paper=0.005    measured=0.005    
  ensFloorSix      paper=4.908    measured=4.908    
  ensFloorSixSd    paper=0.057    measured=0.057    
  errSixEq         paper=4.626    measured=4.626    
  errSixEqSd       paper=0.003    measured=0.003    
  corrNetLoSix     paper=0.82     measured=0.82     
  corrNetHiSix     paper=0.98     measured=0.98     
  kappaTen         paper=32.2     measured=32.2     
  kappaTenSd       paper=2.9      measured=2.9      
  kappaTenLo       paper=28.9     measured=28.9     
  kappaTenHi       paper=37.3     measured=37.3     
LOW DATA
  errBestLow       paper=5.433    measured=5.433    
  errBestLowSd     paper=0.093    measured=0.093    
OCO-2 (ten seeds per band, values quoted in Section 6)
  o2    mean_flat  4.43\pm0.05      
  o2    dkr_flat   4.11\pm0.05      
  o2    combined   4.12\pm0.05      
  wco2  combined   16.28\pm0.06     
  sco2  combined   8.08\pm0.01      

0 macro(s) disagree with the artifacts
